District_name,Tot_No_of_Trans,Tot_Trans_val,ID_2
Anugul,172963886,279082534304,372
Balangir,110173574,184918254600,373
Baleshwar,248144764,400484577504,374
Bargarh,90532709,155440241728,375
Bhadrak,174134520,262035970208,376
Boudh,25344628,44987721070,377
Cuttack,462911333,664884602912,378
Deogarh,15562305,28508829038,379
Dhenkanal,129433897,190129271184,380
Gajapati,43296620,79843725444,381
Ganjam,352661187,626869959680,382
Jagatsinghapur,150973741,212103485744,383
Jajapur,275685331,383205081632,384
Jharsuguda,101848121,147467138616,385
Kalahandi,106615820,165409125804,386
Kandhamal,41929298,72603141240,387
Kendrapara,136736299,205376407256,388
Kendujhar,190455642,308663055488,389
Khordha,1789422727,2331771584384,390
Koraput,108055611,195116100992,391
Malkangiri,34756450,66133911050,392
Mayurbhanj,132082626,205969654416,393
Nabarangpur,51777319,99522411470,394
Nayagarh,91140138,135881382368,395
Nuapada,34352019,60684568209,396
Puri,234477501,331229858384,397
Rayagada,96805645,159846573464,398
Sambalpur,147577017,207841477464,399
Sonepur,38789234,70497481504,400
Sundargarh,218821838,339943110288,401
